Кафедра Биофизика и экология ; Biophysics and Ecology Department 
Биофюика ; Biophysics 
Введение в экологию ; lntroduction to Ecology 
Основы экологии;Foundations of Ecology
Безопасность жизнедеятельностн ; Life Safety
Фюические методы в химии и биологии;Physical Methods in Chemistry апd Biology 
Дополнительные главы физическнх методов в биологии и экологии;Additional Topics of Physical Methods in Biology апd Ecology 
Трансдукция сигналов в органюме ; Signals Traпsductioп in Human Body 
Кафедра Высшая математика;Mathematics Department 
Математическая физика и математическое моделирование;Mathematical Physics and Mathematical Modeling
Прикладная математика ; Applied Mathematics
Математические и информационные технологии;Mathematical and lnfom1ation Technologies
Теория уnравления, кибернетика и исследование операций;Control Theory, Cybernetics, and Operatioпal Research
Математическнй аналнз ; Mathematical Analysis 
Аналитическая геометрия и линейная алгебра ; Analytical Geometry and Linear Algebra 
Теория вероятностей ; Probability Тhеогу 
Дифференциальные уравнения ; Ordinary Differential Equatioпs 
Теория функции комплексной переменной;Complex Analysis 
Уравнения математической физики ; Partial Differential Equations 
Функциональный аналнз ; Functional Analysis 
Дискретный анализ ; Discrete Analysis 
Прикладная линейная алгебра ; Applied Linear Algebra
Дополнительные главы линейной алгебры;Linear Algebra Additional Topics
Дискретные случайные процессы ; Discrete Stochastic Processes 
Стохастические процессы ; Stochastic Processes 
Дополнительные главы дифференциальных уравнений ; Differential Equatioпs Additional Topics 
Дополнительные главы теории управления ; Control Theory Additional Topics 
Асимптотические методы в математике и механике;Asymptotic Methods in Mathcmatics and Mecl1anics lnformation 
Математическое моделирование систем в условиях распределенной и неполной информации ; Mathematical Simulation in Conditions of Distribt1ted and lncomplete lnformation 
Стохастическая динамика ; Stochastic Dynamics 
Тензорный анализ и риманова геометрия;Tensor Analysis and Riemann Geometry 
Квантование динамических систем и кинетические уравнения ; Quantization Dynamical Systems Quantizatioп and Kinetic Equations 
Управление общественно-экономическими nроцессами ; Economical and Society Processes Control 
Сопряженные операторы и их прнложения;Conju_gate Operarors and Their Applications 
Элементы теории графов и прнложения ; lntroduction to Graph Theory and Their Aoolications 
Элементы теории дифференциальных операторов ; Introduction to Differential Operators Theory
Элементы теории rрупп (конечных и бесконечных) ; lntroduction to Group Theory (Finite and lnfinite) 
Алгебраическая геометрия (вводный курс) ; Algebraic Geometry (introductory Course) 
Алгоритмические проблемы математики ; Algorithmic Problems of Mathematics
Метод комплексного интегрирования ; Complex lntegration Method
Введение в теорию гомологии;lntroduction to Homology Theory
Римановы поверхноспt ; Riemann Surfaces 
Анализ ; Calculus 
Введение в математическую физику;lntroduction to Mathematical Physics
Квантовая механика ; Quantum Mechanics 
Динамические системы и статистическая механика ; Dynamic Systems and Statistical Mechanics 
Теория ранговых критериев ; Rank Criteria Theory 
Ветвящиеся процессы ; Branching Processes 
Нелииеnные уравиеиия с частиыми пронзводнымн ; Nonlinear Panial Differential Equations 
Курс дифференциальной reoмeтрии;Differential Geometry
Кафедра Вычислительиая матсматика ; Computational Mathematics Department 
Вычислительная математика ; Computational Mathematics 
Нелинейные вычнслительные процессы ; Nonlinear Computational Methods 
Математические модели ,механнки сплошных сред ; Mathematical Models in Continuum Mechanics 
Численные методы решения гиперболичеких систем уравнений (Часть первая - общий курс) ; Numerical Methods for the Hyperbolic Set of Equations.(Part 1 General Course) 
Численные методы решения гиперболичеких систем уравнений (Курс по выбору) ; Numerical Methods for the Hyperbolic Set of Equations.(Additional Course) 
Численное решеиие конкретиых гиперболических систем уравнении и их особенности (Часть вторая) ; Numerical Methods for the Hyperbolic Set of Equations.(Part 2 General Course) 
Численное решение конкретных гиперболических систем уравнений и их особенности (Курс по выбору) ; Numerical Methods for the Hyperbolic Set of Equations.(Additional Course) 
Введение в nроекционно-сеточиые методы решения уравнений математическоR физию1 ; Introduction to Projection-Grid Methods for Partial Differential Equations (Additional Course) 
Проекционно-сеточные методы решення уравнений математической физики;Projection-Grid Methods for Partial Differential Equations 
Кафедра Иностранных языков ; Foreign Languages Departmeпt 
Английский язык ; English 
Немецкий язык ; German
Французскиn язык ; French
Испанский язык;Spanish
Кафедра Общая физика ; Physics Department 
Физика низких температур ; Low Temperature Physics 
Теоретические проблемы физики элементарных частиц;Theoretical ProЫems of Elementary Particle Physics 
Физика твёрдоrо тела ; Solid State Physics 
Физика высоких энергий ; High Energy Physics 
Радиофизика;Radio Physics
Квантовая радиофизика;Quantum Radio Physics 
Физика и химия плазмы;Plasma Physics and Chemistry 
Механика ; Mechanics 
Термодинамика и молекулярная Физика ; Thermodynamics and Molecular Physics 
Электричество и магнетизм ; Electricity аnd Magnetism 
Оптика;Optics 
Квантовая физика;Quantum Physics 
Физические основы оптоэлектроники ; Optoelectronics Fundamentals 
Введение в специальную теорию относительности ; lntroduction to the Special Relativity 
Введение в астрофизику;lntroduction to Astrophysics 
Совоеменные представления о магнетизме ; Modem Magnetism Physics 
Фундаментальные модели и концепции современной физики;Fundamental Models and Conceptions in Modern Physics 
Избранные вопросы космологии;Selected Cosmology Topics 